timestamp,worker_id,batch_size,duration_ms,total_rows_after_insert_approx
2025-05-21T20:54:01.804017,1,1000,14.67,348000
2025-05-21T20:54:01.876226,1,1000,21.48,350000
2025-05-21T20:54:01.948518,1,1000,22.13,352000
2025-05-21T20:54:02.019610,1,1000,21.50,354000
2025-05-21T20:54:02.091977,1,1000,21.02,356000
2025-05-21T20:54:02.165278,1,1000,22.71,358000
2025-05-21T20:54:02.240335,1,1000,23.95,360000
2025-05-21T20:54:02.322027,1,1000,19.68,362000
2025-05-21T20:54:02.389320,1,1000,27.23,364000
2025-05-21T20:54:02.455471,1,1000,21.94,366000
2025-05-21T20:54:02.517487,1,1000,21.46,368000
2025-05-21T20:54:02.579200,1,1000,20.50,370000
2025-05-21T20:54:02.640060,1,1000,20.29,372000
2025-05-21T20:54:02.701916,1,1000,21.37,374000
2025-05-21T20:54:02.757165,1,1000,14.49,376000
2025-05-21T20:54:02.829651,1,1000,14.31,378000
2025-05-21T20:54:02.903880,1,1000,15.04,380000
2025-05-21T20:54:02.978826,1,1000,15.27,382000
2025-05-21T20:54:03.059682,1,1000,13.77,384000
2025-05-21T20:54:03.130362,1,1000,13.80,386000
2025-05-21T20:54:03.200811,1,1000,13.57,388000
2025-05-21T20:54:03.272042,1,1000,13.80,390000
2025-05-21T20:54:03.340843,1,1000,15.44,392000
2025-05-21T20:54:03.411300,1,1000,14.94,394000
2025-05-21T20:54:03.481923,1,1000,16.17,396000
2025-05-21T20:54:03.549703,1,1000,14.82,398000
2025-05-21T20:54:03.622539,1,1000,17.45,400000
2025-05-21T20:54:03.694513,1,1000,18.71,402000
2025-05-21T20:54:03.768269,1,1000,15.03,404000
2025-05-21T20:54:03.837606,1,1000,15.54,406000
2025-05-21T20:54:03.916718,1,1000,25.57,408000
2025-05-21T20:54:03.986296,1,1000,20.50,410000
2025-05-21T20:54:04.051492,1,1000,20.02,412000
2025-05-21T20:54:04.113697,1,1000,21.03,414000
2025-05-21T20:54:04.176998,1,1000,22.84,416000
2025-05-21T20:54:04.239793,1,1000,22.09,418000
2025-05-21T20:54:04.302901,1,1000,21.78,420000
2025-05-21T20:54:04.364327,1,1000,20.91,422000
2025-05-21T20:54:04.433083,1,1000,22.06,424000
2025-05-21T20:54:04.495353,1,1000,20.86,426000
2025-05-21T20:54:04.553635,1,1000,19.36,428000
2025-05-21T20:54:04.614563,1,1000,20.04,430000
2025-05-21T20:54:04.674639,1,1000,19.52,432000
2025-05-21T20:54:04.748194,1,1000,32.79,434000
2025-05-21T20:54:04.820218,1,1000,20.97,436000
2025-05-21T20:54:04.892172,1,1000,21.15,438000
2025-05-21T20:54:04.962684,1,1000,21.57,440000
2025-05-21T20:54:05.028654,1,1000,20.81,442000
2025-05-21T20:54:05.104975,1,1000,20.81,444000
2025-05-21T20:54:05.177000,1,1000,21.29,446000
2025-05-21T20:54:05.249283,1,1000,20.57,448000
2025-05-21T20:54:05.316242,1,1000,20.32,450000
2025-05-21T20:54:05.376797,1,1000,20.43,452000
2025-05-21T20:54:05.437477,1,1000,20.49,454000
2025-05-21T20:54:05.499060,1,1000,20.55,456000
2025-05-21T20:54:05.563205,1,1000,22.12,458000
2025-05-21T20:54:05.625796,1,1000,21.51,460000
2025-05-21T20:54:05.691041,1,1000,23.35,462000
2025-05-21T20:54:05.760783,1,1000,21.59,464000
2025-05-21T20:54:05.821945,1,1000,21.15,466000
2025-05-21T20:54:05.885827,1,1000,21.96,468000
2025-05-21T20:54:05.946994,1,1000,20.15,470000
2025-05-21T20:54:06.004852,1,1000,18.75,472000
2025-05-21T20:54:06.063092,1,1000,18.89,474000
2025-05-21T20:54:06.121058,1,1000,18.62,476000
2025-05-21T20:54:06.179217,1,1000,18.65,478000
2025-05-21T20:54:06.237439,1,1000,19.30,480000
2025-05-21T20:54:06.296269,1,1000,19.98,482000
2025-05-21T20:54:06.360768,1,1000,19.15,484000
2025-05-21T20:54:06.419200,1,1000,19.97,486000
2025-05-21T20:54:06.476205,1,1000,18.51,488000
2025-05-21T20:54:06.532711,1,1000,18.59,490000
2025-05-21T20:54:06.589488,1,1000,18.05,492000
2025-05-21T20:54:06.647223,1,1000,18.53,494000
2025-05-21T20:54:06.707436,1,1000,21.29,496000
2025-05-21T20:54:06.770977,1,1000,22.26,498000
2025-05-21T20:54:06.840207,1,1000,20.30,500000
2025-05-21T20:54:06.904303,1,1000,20.81,502000
2025-05-21T20:54:06.968029,1,1000,18.64,504000
2025-05-21T20:54:07.027972,1,1000,19.96,506000
2025-05-21T20:54:07.086934,1,1000,19.67,508000
2025-05-21T20:54:07.147338,1,1000,20.07,510000
2025-05-21T20:54:07.206884,1,1000,20.15,512000
2025-05-21T20:54:07.266672,1,1000,20.50,514000
2025-05-21T20:54:07.335929,1,1000,24.97,516000
2025-05-21T20:54:07.401529,1,1000,23.25,518000
2025-05-21T20:54:07.466153,1,1000,22.01,520000
2025-05-21T20:54:07.529037,1,1000,21.93,522000
2025-05-21T20:54:07.598627,1,1000,20.07,524000
2025-05-21T20:54:07.658364,1,1000,20.47,526000
2025-05-21T20:54:07.716484,1,1000,19.32,528000
2025-05-21T20:54:07.773543,1,1000,13.95,530000
2025-05-21T20:54:07.844254,1,1000,12.93,532000
2025-05-21T20:54:07.915253,1,1000,13.49,534000
2025-05-21T20:54:07.987047,1,1000,14.05,536000
2025-05-21T20:54:08.057442,1,1000,14.64,538000
2025-05-21T20:54:08.126935,1,1000,14.30,540000
2025-05-21T20:54:08.205174,1,1000,22.72,542000
2025-05-21T20:54:08.274657,1,1000,20.40,544000
2025-05-21T20:54:08.333837,1,1000,19.41,546000
2025-05-21T20:54:08.392091,1,1000,19.17,548000
2025-05-21T20:54:08.449283,1,1000,18.51,550000
2025-05-21T20:54:08.506228,1,1000,18.35,552000
2025-05-21T20:54:08.567012,1,1000,21.20,554000
2025-05-21T20:54:08.626985,1,1000,20.35,556000
2025-05-21T20:54:08.686516,1,1000,20.22,558000
2025-05-21T20:54:08.748649,1,1000,22.11,560000
2025-05-21T20:54:08.810628,1,1000,21.09,562000
2025-05-21T20:54:08.876975,1,1000,20.43,564000
2025-05-21T20:54:08.936882,1,1000,19.94,566000
2025-05-21T20:54:08.996748,1,1000,19.92,568000
2025-05-21T20:54:09.056097,1,1000,19.87,570000
2025-05-21T20:54:09.114962,1,1000,19.13,572000
2025-05-21T20:54:09.174949,1,1000,19.98,574000
2025-05-21T20:54:09.233336,1,1000,19.10,576000
2025-05-21T20:54:09.290624,1,1000,18.63,578000
2025-05-21T20:54:09.350127,1,1000,19.31,580000
2025-05-21T20:54:09.412711,1,1000,19.74,582000
2025-05-21T20:54:09.475555,1,1000,17.60,584000
2025-05-21T20:54:09.533542,1,1000,18.33,586000
2025-05-21T20:54:09.591807,1,1000,18.81,588000
2025-05-21T20:54:09.649673,1,1000,18.69,590000
2025-05-21T20:54:09.707381,1,1000,18.60,592000
2025-05-21T20:54:09.777273,1,1000,30.69,594000
2025-05-21T20:54:09.841060,1,1000,18.53,596000
2025-05-21T20:54:09.898020,1,1000,18.43,598000
2025-05-21T20:54:09.957793,1,1000,20.51,600000
2025-05-21T20:54:10.016700,1,1000,19.83,602000
2025-05-21T20:54:10.084626,1,1000,25.04,604000
2025-05-21T20:54:10.141474,1,1000,18.54,606000
2025-05-21T20:54:10.203404,1,1000,23.07,608000
2025-05-21T20:54:10.264243,1,1000,20.33,610000
2025-05-21T20:54:10.325879,1,1000,22.44,612000
2025-05-21T20:54:10.385444,1,1000,20.45,614000
2025-05-21T20:54:10.446064,1,1000,20.30,616000
2025-05-21T20:54:10.504302,1,1000,20.03,618000
2025-05-21T20:54:10.564999,1,1000,20.50,620000
2025-05-21T20:54:10.627045,1,1000,21.66,622000
2025-05-21T20:54:10.700490,1,1000,26.94,624000
2025-05-21T20:54:10.781576,1,1000,41.26,626000
2025-05-21T20:54:10.855011,1,1000,21.36,628000
2025-05-21T20:54:10.927418,1,1000,21.87,630000
2025-05-21T20:54:10.991084,1,1000,19.88,632000
2025-05-21T20:54:11.056227,1,1000,25.61,634000
2025-05-21T20:54:11.115291,1,1000,19.90,636000
2025-05-21T20:54:11.177918,1,1000,20.21,638000
2025-05-21T20:54:11.236208,1,1000,19.19,640000
2025-05-21T20:54:11.295235,1,1000,20.10,642000
